"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
STR_PLAYZ_PERK_STRNG_HEAVY_STRIKE_NAME,Destructive Strike,Destructive Strike,Destruktivní úder,Zerstörerischer Schlag,Разрушительный удар,Niszczycielskie uderzenie,Pusztító ütés,Colpo distruttivo,Golpe destructivo,Frappe destructrice,破壞打擊,デストラクティブ・ストライク,Golpe destrutivo,破坏打击,
STR_PLAYZ_PERK_STRNG_HEAVY_STRIKE_DESC,Power training for heavy melee attacks that adds bonus health damage on each heavy hit. Each rank increases the extra damage as a fraction of the hit's base damage.,Power training for heavy melee attacks that adds bonus health damage on each heavy hit. Each rank increases the extra damage as a fraction of the hit's base damage.,Silový trénink těžkých úderů přidává bonusové zdravotní poškození. Každá úroveň zvyšuje extra poškození jako podíl základního damage.,Krafttraining für schwere Nahkampftreffer fügt Bonus-Gesundheitsschaden hinzu. Jede Stufe erhöht den Zusatzschaden als Anteil des Grundschadens.,Силовая подготовка тяжёлых ударов добавляет бонусный урон здоровью. Каждый ранг увеличивает дополнительный урон как долю базового урона.,Trening ciężkich ciosów dodaje bonusowe obrażenia zdrowia. Każdy poziom zwiększa dodatkowe obrażenia jako ułamek bazowych.,Nehéz közelharci erőnléti edzés bónusz életerő-sebzést ad. Minden fokozat növeli a többlet sebzést az alapsebzés hányadaként.,Addestramento di potenza per colpi pesanti che aggiunge danno salute bonus. Ogni grado aumenta il danno extra come frazione del danno base.,Entrenamiento de potencia para golpes pesados que añade daño de salud extra. Cada rango aumenta el daño adicional como fracción del daño base.,Entraînement de puissance pour coups lourds ajoutant des dégâts de santé bonus. Chaque rang augmente les dégâts supplémentaires en fraction des dégâts de base.,重型近戰攻擊的力量訓練，每次重擊附加額外生命值傷害。每升一級都以命中基礎傷害的比例提高附加傷害。,重攻撃の近接パワートレーニングで、各重打撃にボーナス体力ダメージを付与。各ランクで基礎ダメージに対する割合が上がる。,Treino de potência para golpes pesados que adiciona dano de saúde bônus. Cada nível aumenta o dano extra como fração do dano base.,重型近战攻击的力量训练，每次重击附加额外生命值伤害。每升一级都以命中基础伤害的比例提高附加伤害。,
STR_PLAYZ_PERK_STLTH_WOLF_INSTINCT_NAME,Alpha Instinct,Alpha Instinct,Instinkt alfa,Alpha-Instinkt,Альфа-инстинкты,Instynkt alfa,Alfa ösztön,Istinto alfa,Instinto alfa,Instinct Alpha,頭狼直覺,アルファ・インスティンクト,Instinto alfa,头狼直觉,
STR_PLAYZ_PERK_STLTH_WOLF_INSTINCT_DESC,Sensory tuning that aligns your heart rate and movement with the pack. Progressively reduces wolf detection radius and aggression levels.,Sensory tuning that aligns your heart rate and movement with the pack. Progressively reduces wolf detection radius and aggression levels.,"Senzorické ladění, které sjednotí váš srdeční rytmus a pohyb se smečkou. Snižuje rádius detekce vlků a úroveň agrese.","Sensorisches Tuning, das Herzfrequenz und Bewegung an das Rudel anpasst. Reduziert den Wolf-Entdeckungsradius und das Aggressionsniveau.","Сенсорная настройка, согласовывающая ваш пульс и движения со стаей. Снижает радиус обнаружения волками и уровень агрессии.","Strojenie sensoryczne, które dostosowuje tętno i ruchy do stada. Zmniejsza promień wykrywania przez wilki i poziom agresji.","Szenzoros hangolás, amely összehangolja a szívritmust és a mozgást a falkával. Csökkenti a farkasok észlelési sugarát és agressziós szintjét.",Sintonizzazione sensoriale che allinea il battito cardiaco e il movimento con il branco. Riduce il raggio di rilevamento dei lupi e i livelli di aggressività.,Sintonización sensorial que alinea tu ritmo cardíaco y movimiento con la manada. Reduce el radio de detección de lobos y los niveles de agresividad.,Réglage sensoriel alignant votre rythme cardiaque et votre mouvement sur la meute. Réduit le rayon de détection des loups et l'agressivité.,感官調整，使您的心律與動作與狼群同步。將狼群偵測半徑與攻擊性降低。,心拍数と動きを群れに合わせる感覚の同調。狼の検知半径と攻撃性を低下させます。,Sintonização sensorial que alinha seu ritmo cardíaco e movimento com a alcateia. Reduz o raio de detecção dos lobos e níveis de agressividade.,感官调整，使您的心律与动作与狼群同步。将狼群侦测半径与攻击性降低。,
STR_PLAYZ_PERK_STLTH_BEARS_FRIEND_NAME,Forest Kinship,Forest Kinship,Lesní spřízněnost,Wald-Verwandtschaft,Лесное родство,Leśne pokrewieństwo,Erdei sógorság,Affinità della foresta,Parentesco forestal,Parenté forestière,森林共生,森の親近感,Parentesco florestal,森林共生,
STR_PLAYZ_PERK_STLTH_BEARS_FRIEND_DESC,Subtle pheromone masking and calm posture that makes bears less likely to perceive you as a threat. Progressively reduces bear aggression.,Subtle pheromone masking and calm posture that makes bears less likely to perceive you as a threat. Progressively reduces bear aggression.,"Jemné maskování feromony a klidný postoj, díky kterému vás medvědi méně vnímají jako hrozbu. Snižuje agresi medvědů.","Subtile Pheromonmaskierung und ruhige Körperhaltung, die Bären weniger geneigt machen, Sie als Bedrohung wahrzunehmen. Reduziert die Bärenaggression.","Тонкая маскировка феромонов и спокойная осанка, благодаря которым медведи с меньшей вероятностью воспримут вас как угрозу. Снижает агрессию медведей.","Subtelne maskowanie feromonami i spokojna postawa, sprawiające, że niedźwiedzie rzadziej postrzegają cię jako zagrożenie. Zmniejsza agresję niedźwiedzi.","Finom feromonmaszkolás és nyugodt testtartás, amely miatt a medvék kevésbé valószínű, hogy fenyegetésnek érzékelik. Csökkenti a medvék agresszióját.",Sottile mascheramento di feromoni e postura calma che rende gli orsi meno propensi a percepirti come una minaccia. Riduce l'aggressività degli orsi.,Sutil enmascaramiento de feromonas y postura calmada que hace que los osos sean menos propensos a percibirte como una amenaza. Reduce la agresividad del oso.,Masquage subtil des phéromones et posture calme rendant les ours moins susceptibles de vous percevoir comme une menace. Réduit l'agressivité des ours.,細微的費洛蒙掩蔽與平靜姿勢，使熊較不容易將您視為威脅。將熊的攻擊性降低。,フェロモンによるマスキングと落ち着いた姿勢により、クマがあなたを脅威と見なす可能性を低くします。クマの攻撃性を低下させます。,Mascaramento sutil de feromônios e postura calma que tornam os ursos menos propensos a percebê-lo como uma ameaça. Reduz a agressividade dos ursos.,细微的费洛蒙掩蔽与平静姿态，使熊较不容易将您视为威胁。将熊的攻击性降低。,
STR_PLAYZ_PERK_STLTH_COLD_BLOODED_NAME,Cold Blooded,Cold Blooded,Chladnokrevný,Kaltblütig,Хладнокровный,Zimna krew,Hidegvérű,Sangue freddo,Sangre fría,Sang-froid,冷血,冷血,Sangue frio,冷血,
STR_PLAYZ_PERK_STLTH_COLD_BLOODED_DESC,Vocal discipline that reduces voice-related sound volume. Each rank lowers the audible footprint of pain, exertion, and other voice events.,Vocal discipline that reduces voice-related sound volume. Each rank lowers the audible footprint of pain, exertion, and other voice events.,Hlasová disciplína snižuje hlasitost zvuků spojených s hlasem. Každá úroveň zmenšuje slyšitelnost bolesti a námahy.,Stimmliche Disziplin reduziert lautstärkebezogene Stimmgeräusche. Jede Stufe verringert die Hörbarkeit von Schmerz und Anstrengung.,Голосовая дисциплина снижает громкость звуков голоса. Каждый ранг уменьшает слышимость боли и нагрузки.,Dyscyplina głosowa zmniejsza głośność dźwięków głosu. Każdy poziom obniża słyszalność bólu i wysiłku.,Hangzási fegyelem csökkenti a hanghoz kapcsolódó hangerőt. Minden fokozat halkábbá teszi a fájdalmat és erőlködést.,Disciplina vocale che riduce il volume dei suoni della voce. Ogni grado riduce l'impronta uditiva di dolore e sforzo.,Disciplina vocal que reduce el volumen de sonidos de voz. Cada rango reduce la huella audible del dolor y el esfuerzo.,Discipline vocale réduisant le volume des sons liés à la voix. Chaque rang diminue l'empreinte auditive de la douleur et de l'effort.,聲帶紀律可降低與語音相關的音量。每升一級都減少疼痛與費力時的聲響足跡。,発声に関する音量を下げる声の規律。各ランクで痛みや努力の音が小さくなる。,Disciplina vocal que reduz o volume de sons relacionados à voz. Cada nível reduz a pegada audível de dor e esforço.,声带纪律可降低与语音相关的音量。每升一级都减少疼痛与费力时的声响足迹。,
STR_PLAYZ_PERK_STLTH_QUIET_SHOOTER_NAME,Quiet Shooter,Quiet Shooter,Tichý střelec,Leiser Schütze,Тихий стрелок,Cichy strzelec,Csendes lövész,Tiratore silenzioso,Tirador silencioso,Tireur silencieux,靜默射手,静かな射手,Atirador silencioso,静默射手,
STR_PLAYZ_PERK_STLTH_QUIET_SHOOTER_DESC,Weapon-handling discipline that reduces firearm manipulation and shot noise. Each rank lowers weapon sound volume.,Weapon-handling discipline that reduces firearm manipulation and shot noise. Each rank lowers weapon sound volume.,Disciplína manipulace se zbraní snižuje hluk manipulace a střelby. Každá úroveň snižuje hlasitost zbraně.,Waffenhandhabungsdisziplin reduziert Lärm bei Manipulation und Schuss. Jede Stufe senkt die Waffenlautstärke.,Дисциплина обращения с оружием снижает шум манипуляций и выстрела. Каждый ранг уменьшает громкость оружия.,Dyscyplina obsługi broni zmniejsza hałas manipulacji i strzału. Każdy poziom obniża głośność broni.,Fegyverkezelési fegyelem csökkenti a manipuláció és lövés zaját. Minden fokozat halkábbá teszi a fegyvert.,Disciplina di maneggio delle armi che riduce il rumore di manipolazione e sparo. Ogni grado abbassa il volume delle armi.,Disciplina de manejo de armas que reduce el ruido de manipulación y disparo. Cada rango reduce el volumen del arma.,Discipline de maniement d'armes réduisant le bruit de manipulation et de tir. Chaque rang diminue le volume des armes.,武器操作紀律可降低槍械操作與射擊噪音。每升一級都降低武器音量。,武器操作の規律で操作音と射撃音を低減。各ランクで武器音が小さくなる。,Disciplina de manuseio de armas que reduz ruído de manipulação e disparo. Cada nível reduz o volume das armas.,武器操作纪律可降低枪械操作与射击噪音。每升一级都降低武器音量。,
STR_PLAYZ_PERK_STLTH_INVISIBLEMAN,Infected Blindspot,Infected Blindspot,Přízračná přítomnost,Phantom-Präsenz,Призрачное присутствие,Fantomowa obecność,Fantom jelenlét,Presenza fantasma,Presencia fantasma,Présence fantôme,幽影存在,幻影の気配,Presença fantasma,幽影存在,
STR_PLAYZ_PERK_STLTH_INVISIBLEMAN_DES,"You become harder for infected to notice in every way. You are better at staying unseen, unheard, and unsmelled by infected.","You become harder for infected to notice in every way. As this perk grows, you are better at staying unseen, unheard, and unsmelled by infected.","Disciplinovaný pohyb a kontrola profilu, díky nimž vás nakažení výrazně hůře vizuálně zachytí. Postupně snižuje dosah vizuální detekce nakažených.","Disziplinierte Bewegung und Profilkontrolle, die es Infizierten deutlich erschweren, Sie visuell zu erfassen. Reduziert schrittweise die Sicht-Erkennungsreichweite von Infizierten.","Дисциплинированные движения и контроль силуэта значительно затрудняют заражённым визуальное обнаружение. Постепенно снижает дальность визуального обнаружения заражёнными.","Zdyscyplinowany ruch i kontrola sylwetki sprawiają, że zainfekowani mają znacznie trudniej z wykryciem cię wzrokiem. Stopniowo zmniejsza zasięg wykrywania wzrokowego zainfekowanych.","Fegyelmezett mozgás és testprofil-kontroll, amely jelentősen megnehezíti a fertőzöttek számára a vizuális észlelést. Fokozatosan csökkenti a fertőzöttek látásalapú észlelési távolságát.","Movimento disciplinato e controllo del profilo che rendono molto più difficile per gli infetti individuarti visivamente. Riduce progressivamente il raggio di rilevamento visivo degli infetti.","Movimiento disciplinado y control del perfil que hacen mucho más difícil que los infectados te detecten visualmente. Reduce progresivamente el alcance de detección visual de los infectados.","Mouvements disciplinés et contrôle de la silhouette vous rendant nettement plus difficile à repérer visuellement pour les infectés. Réduit progressivement la portée de détection visuelle des infectés.","自律的動作與身形控制，讓感染者更難以用視覺鎖定您。會逐步降低感染者的視覺偵測距離。","規律的な動きと姿勢制御により、感染者が視覚であなたを捉えにくくなります。感染者の視覚検知距離を段階的に低下させます。","Movimento disciplinado e controle de perfil que tornam significativamente mais difícil para os infectados adquirirem você visualmente. Reduz progressivamente o alcance de detecção visual dos infectados.","自律化动作与身形控制，使感染者更难通过视觉锁定你。将逐步降低感染者的视觉侦测距离。",
STR_PLAYZ_PERK_SURV_ROUGH_FEET_NAME,Calloused Soles,Calloused Soles,Mozolnaté podrážky,Verhornte Sohlen,Огрубевшие подошвы,Zrogowaciałe podeszwy,Bőrkeményedéses talpak,Piante callose,Plantas callosas,Vôutes calleuses,老繭足底,タコのできた足の裏,Plantas calejadas,老茧足底,
STR_PLAYZ_PERK_SURV_ROUGH_FEET_DESC,Extreme epidermal toughening and nerve desensitization that progressively reduces foot damage and shoe wear from walking at maximum rank.,Extreme epidermal toughening and nerve desensitization that progressively reduces foot damage and shoe wear from walking at maximum rank.,"Extrémní zpevnění epidermis a znecitlivění nervů, které snižuje poškození nohou a opotřebení bot při chůzi.","Extreme epidermale Härtung und Nervendesensibilisierung, die Fußschäden und Schuhverschleiß beim Gehen reduziert.","Экстремальное укрепление эпидермиса и десенсибилизация нервов, снижающие повреждение стоп и износ обуви при ходьбе.","Ekstremalne utwardzenie naskórka i odczulenie nerwów, które redukuje uszkodzenia stóp i zużycie butów podczas chodzenia.","Extrém bőrmegvastagodás és idegi érzéketlenítés, amely csökkenti a láb sérülését és a cipő kopását járás közben.",Estremo indurimento epidermico e desensibilizzazione dei nervi che riduce i danni ai piedi e l'usura delle scarpe camminando.,Endurecimiento epidérmico extremo y desensibilización nerviosa que reduce el daño en los pies y el desgaste del calzado al caminar.,Durcissement épidermique extrême et désensibilisation nerveuse réduisant les dommages aux pieds et l'usure des chaussures lors de la marche.,極度的表皮硬化與神經脫敏，可將步行造成的足部傷害與鞋子磨損降低。,極限的な皮膚の硬化と神経の減感作により、歩行による足のダメージと靴の摩耗を低減させます。,Endurecimento epidérmico extremo e dessensibilização nervosa que reduz danos nos pés e desgaste de sapatos ao caminhar.,极度的表皮硬化与神经脱敏，可将步行造成的足部伤害与鞋类磨损降低。,
STR_PLAYZ_PERK_SURV_COLD_RESISTANCE_NAME,Cold Resistance,Cold Resistance,Odolnost proti chladu,Kältewiderstand,Сопротивление холоду,Odporność na zimno,Hideg ellenállás,Resistenza al freddo,Resistencia al frío,Résistance au froid,耐寒,耐寒,Resistência ao frio,耐寒,
STR_PLAYZ_PERK_SURV_COLD_RESISTANCE_DESC,Acclimation training that softens how much below-comfort cold you feel. Each rank reduces the effective chill penalty from ambient temperature.,Acclimation training that softens how much below-comfort cold you feel. Each rank reduces the effective chill penalty from ambient temperature.,Aklimatizační trénink zmírňuje vnímaný chlad pod komfortní teplotou. Každá úroveň snižuje účinek okolního chladu.,Akklimatisierungstraining mildert empfundene Kälte unter der Komforttemperatur. Jede Stufe reduziert die effektive Kältestrafe.,Акклиматизация смягчает ощущение холода ниже комфортной температуры. Каждый ранг снижает эффективный штраф от окружающего холода.,Trening aklimatyzacyjny łagodzi odczuwalny chłód poniżej temperatury komfortu. Każdy poziom zmniejsza karę od otoczenia.,Aklimatizációs edzés lágyítja a komfort alatti hideg érzetét. Minden fokozat csökkenti a környezeti hideg hatását.,Addestramento di acclimatazione che attenua il freddo percepito sotto la temperatura di comfort. Ogni grado riduce la penalità da freddo ambientale.,Entrenamiento de aclimatación que suaviza el frío percibido bajo la temperatura de confort. Cada rango reduce la penalización por frío ambiental.,Entraînement d'acclimatation qui atténue le froid ressenti sous la température de confort. Chaque rang réduit la pénalité de froid ambiant.,適應訓練可減輕低於舒適溫度時感受到的寒冷。每升一級都降低環境低溫的有效懲罰。,快適温度を下回る寒さの体感を和らげる順化訓練。各ランクで環境寒冷ペナルティが軽減される。,Treino de aclimatação que suaviza o frio sentido abaixo da temperatura de conforto. Cada nível reduz a penalidade de frio ambiente.,适应训练可减轻低于舒适温度时感受到的寒冷。每升一级都降低环境低温的有效惩罚。,
STR_PLAYZ_PERK_SURV_MAINTAINING_FIRE_NAME,Pyre Preservation,Pyre Preservation,Zachování ohně,Scheiterhaufen-Erhaltung,Сохранение костра,Konserwacja ogniska,Tűz megőrzése,Preservazione del rogo,Preservación de piras,Préservation du bûcher,营火保育,焚き火の維持,Preservação de fogueira,营火保育,
STR_PLAYZ_PERK_SURV_MAINTAINING_FIRE_DESC,Advanced thermal management and oxygen control techniques that progressively increase the duration of active fires and furnaces.,Advanced thermal management and oxygen control techniques that progressively increase the duration of active fires and furnaces.,"Pokročilé techniky tepelného managementu a kontroly kyslíku, které prodlužují trvání aktivních ohňů a pecí.","Fortschrittliches Wärmemanagement und Sauerstoffkontrolltechniken, die die Dauer von aktiven Feuern und Öfen verlängern.","Продвинутые техники управления теплом и контроля кислорода, увеличивающие длительность горения костров и печей.","Zaawansowane techniki zarządzania ciepłem i kontroli tlenu, które zwiększają czas trwania aktywnych ognisk i pieców.","Fejlett hőkezelési és oxigénszabályozási technikák, amelyek növelik az aktív tüzek és kemencék időtartamát.",Tecniche avanzate di gestione termica e controllo dell'ossigeno che aumentano la durata dei fuochi attivi e delle fornaci.,Técnicas avanzadas de gestión térmica y control de oxígeno que aumentan la duración de los fuegos y hornos activos.,Techniques avancées de gestion thermique et de contrôle de l'oxygène augmentant la durée des feux et des fourneaux actifs.,高級的熱量管理與供氧控制技術，可將運作中營火與火爐的持續時間延長。,高度な熱管理と酸素制御技術により、活動中の焚き火や炉の持続時間を延長させます。,Técnicas avançadas de gerenciamento térmico e controle de oxigênio que aumentan a duração de fogos e fornos ativos.,高级的热量管理与供氧控制技术，可将运作中营火与火炉的持续时间延长。,
STR_PLAYZ_PERK_SURV_DURABLE_EQUIPMENT_NAME,Durable Equipment,Durable Equipment,Odolne vybaveni,Robuste Ausrustung,Nadezhnoe snaryazhenie,Trwale wyposazenie,Tartos felszereles,Equipaggiamento durevole,Equipo duradero,Equipement durable,耐用装备,耐久装備,Equipamento duravel,耐用装备,
STR_PLAYZ_PERK_SURV_DURABLE_EQUIPMENT_DESC,Field maintenance discipline and protective handling that progressively reduces durability loss on your equipment.,Field maintenance discipline and protective handling that progressively reduces durability loss on your equipment.,"Disciplinovana polni udrzba a ochranne zachazeni, ktere postupne snizuje ztratu odolnosti vaseho vybaveni.","Disziplinierte Feldwartung und schonender Umgang, die den Haltbarkeitsverlust deiner Ausruestung schrittweise verringern.","Polevaya disciplina obsluzhivaniya i berezhnoe obrashchenie, kotorye postupenno snizhayut poteryu prochnosti vashego snaryazheniya.","Dyscyplina konserwacji w terenie i ostrozna obsluga, ktore stopniowo zmniejszaja utrate trwalosci twojego wyposazenia.","Terepi karbantartasi fegyelem es vedo kezeles, amely fokozatosan csokkenti a felszerelesed allapotveszteset.","Disciplina di manutenzione sul campo e gestione protettiva che riducono progressivamente la perdita di durabilita del tuo equipaggiamento.","Disciplina de mantenimiento en campo y manejo protector que reducen progresivamente la perdida de durabilidad de tu equipo.","Discipline d'entretien sur le terrain et manipulation protective qui reduisent progressivement la perte de durabilite de votre equipement.",野外维护纪律与防护性操作可逐步降低装备耐久损耗。,野外整備の徹底と保護的な取り扱いにより装備の耐久消耗を段階的に抑える。,Disciplina de manutencao em campo e manuseio protetor que reduzem progressivamente a perda de durabilidade do seu equipamento.,野外维护纪律与防护性操作可逐步降低装备耐久损耗。,
STR_PLAYZ_PERK_SURV_STASHES_NAME,Cryptic Burial,Cryptic Burial,Kryptický pohřeb,Kryptische Bestattung,Тайное захоронение,Kryptyczne pogrzebanie,Rejtélyes eltemetés,Sepoltura criptica,Entierro críptico,Enterrement cryptique,神秘掩埋,クリプティック・ビリアル,Enterro críptico,神秘掩埋,
STR_PLAYZ_PERK_SURV_STASHES_DESC,"Specialized excavation and soil restoration methods that allow you to mask the surface of buried stashes, making them invisible to the naked eye.","Specialized excavation and soil restoration methods that allow you to mask the surface of buried stashes, making them invisible to the naked eye.","Specializované metody výkopu a obnovy půdy, které vám umožní zamaskovat povrch zakopaných skrýší, čímž se stanou neviditelnými pro pouhé oko.","Spezialisierte Ausgrabungs- und Bodenwiederherstellungsmethoden, die es Ihnen ermöglichen, die Oberfläche vergrabener Verstecke zu tarnen, sodass sie für das bloße Auge unsichtbar werden.","Специализированные методы выемки и восстановления почвы, позволяющие маскировать поверхность зарытых тайников, делая их невидимыми для невооруженного глаза.","Specjalistyczne metody wykopów i renowacji gleby, które pozwalają na maskowanie powierzchni zakopanych schowków, czyniąc je niewidocznymi gołym okiem.","Speciális ásási és talaj-helyreállítási módszerek, amelyek lehetővé teszik az eltemetett rejtekhelyek felületének álcázását, láthatatlanná téve azokat szabad szemmel.","Metodi specializzati di scavo e ripristino del suolo che consentono di mascherare la superficie dei depositi sepolti, rendendoli invisibili a occhio nudo.","Métodos especializados de excavación y restauración del suelo que le permiten enmascarar la superficie de los alijos enterrados, haciéndolos invisibles a simple vista.","Méthodes d'excavation et de restauration du sol spécialisées vous permettant de masquer la surface des caches enterrées, les rendant invisibles à l'œil nu.",專門的挖掘與土壤復原方法，容許您掩飾埋藏儲物箱的表面，使其躲過肉眼觀察。,埋められた隠し場所の表面を隠し、肉眼で見えなくすることを可能にする、専門的な発掘と土壌修復方法。,"Métodos especializados de escavação e restauração de solo que permitem mascarar a superfície de esconderijos enterrados, tornando-os invisíveis a olho nu.",专门的挖掘与土壤复原方法，允许您掩饰埋藏储物箱的表面，使其躲过肉眼观察。,
STR_PLAYZ_HUNTING_MOD_MEATHUNT_NAME,Butcher's Bounty,Butcher's Bounty,Řeznická odměna,Fleischer-Beute,Охотничий трофей,Łup rzeźnika,Mészáros zsákmánya,Bottino del macellaio,Botín del carnicero,Butin du boucher,屠夫賞金,ブッチャーズ・バウンティ,Recompensa do açougueiro,屠夫赏金,
STR_PLAYZ_HUNTING_MOD_MEATHUNT_DESC,Increases the amount of meat harvested from animal carcasses as your hunting level increases.,Increases the amount of meat harvested from animal carcasses as your hunting level increases.,Zvyšuje množství masa získaného z těl zvířat s rostoucí úrovní lovu.,"Erhöht die Menge an Fleisch, die mit steigendem Jagdlevel von Tierkadavern geerntet wird.","Увеличивает количество мяса, добываемого из туш животных по мере повышения уровня охоты.",Zwiększa ilość mięsa pozyskiwanego z padliny zwierząt wraz ze wzrostem poziomu łowiectwa.,A vadászati szint emelkedésével növeli az állati tetemekből kinyert hús mennyiségét.,Aumenta la quantità di carne raccolta dalle carcasse animali con l'aumentare del livello di caccia.,Aumenta la cantidad de carne recolectada de los cadáveres de animales a medida que aumenta tu nivel de caza.,Augmente la quantité de viande récoltée sur les carcasses d'animaux à mesure que votre niveau de chasse augmente.,隨著狩獵等級提高，增加從動物屍體中獲得的肉量。,狩猟レベルが上がるにつれて、動物の死骸から採取できる肉の量が増加します。,Aumenta a quantidade de carne colhida de carcaças de animais à medida que seu nível de caça aumenta.,随着狩猎等级提高，增加从动物尸体中获得的肉量。,
STR_PLAYZ_HUNTING_MOD_QUICKCUT_NAME,Surgical Precision,Surgical Precision,Chirurgická přesnost,Chirurgische Präzision,Хирургическая точность,Chirurgiczna precyzja,Sebészi precizitás,Precisione chirurgica,Precisión quirúrgica,Précision chirurgicale,手術般的精確,サージカル・プレシジョン,Precisão cirúrgica,手术般的精确,
STR_PLAYZ_HUNTING_MOD_QUICKCUT_DESC,Reduces the time required to skin and quarter animals based on your experience.,Reduces the time required to skin and quarter animals based on your experience.,Zkracuje čas potřebný ke stažení a porcování zvířat na základě vašich zkušeností.,"Reduziert die Zeit, die zum Häuten und Zerlegen von Tieren benötigt wird, basierend auf Ihrer Erfahrung.","Сокращает время, необходимое для свежевания и разделки животных, на основе вашего опыта.",Skraca czas potrzebny na skórowanie i ćwiartowanie zwierząt w oparciu o Twoje doświadczenie.,Tapasztalatod alapján csökkenti az állatok nyúzásához és negyedeléséhez szükséges időt.,Riduce il tempo necessario per scuoiare e squartare gli animali in base alla tua esperienza.,Reduce el tiempo requerido para desollar y descuartizar animales según tu experiencia.,Réduit le temps nécessaire pour dépecer et dépouiller les animaux en fonction de votre expérience.,根據您的經驗，縮短剝皮與肢解動物所需的時間。,経験に基づいて、動物の皮剥ぎや解体に必要な時間を短縮します。,Reduz o tempo necessário para esfolar e esquartejar animais com base em sua experiência.,根据您的经验，缩短剥皮与肢解动物所需的时间。,
STR_PLAYZ_HUNTING_MOD_PLMASTER_NAME,Pelt Preservation,Pelt Preservation,Zachování kůže,Fellerhaltung,Сохранение шкур,Zachowanie skór,Irhamegőrzés,Preservazione delle pelli,Preservación de pieles,Conservation des peaux,皮革防腐,毛皮の保存,Preservação de peles,皮革防腐,
STR_PLAYZ_HUNTING_MOD_PLMASTER_DESC,Improves the quality and health of harvested pelts as you master the art of skinning.,Improves the quality and health of harvested pelts as you master the art of skinning.,"Zlepšuje kvalitu a stav získaných kůží, jakmile ovládnete umění stahování.","Verbessert die Qualität und den Zustand der geernteten Felle, während Sie die Kunst des Häutens meistern.","Улучшает качество и состояние добытых шкур по мере того, как вы осваиваете искусство свежевания.",Poprawia jakość i stan pozyskiwanych skór w miarę opanowywania sztuki skórowania.,"Javítja a kinyert irhák minőségét és állapotát, ahogy elsajátítod a nyúzás művészetét.",Migliora la qualità e la salute delle pelli raccolte man mano che padroneggi l'arte della scuoiatura.,Mejora la calidad y el estado de las pieles recolectadas a medida que dominas el arte del desuello.,Améliore la qualité et l'état des peaux récoltées à mesure que vous maîtrisez l'art du dépouillement.,隨著您精通剝皮藝術，提高收穫皮革的品質與完整度。,皮剥ぎの技術を習得するにつれて、採取される毛皮の品質と状態が向上します。,Melhora a qualidade e a saúde das peles colhidas à medida que você domina a arte da esfolação.,随着您精通剥皮艺术，提高收获皮革的品质与完整度。,
STR_PLAYZ_FISHING_MOD_CATCH_NAME,Angler's Intuition,Angler's Intuition,Rybářská intuice,Angler-Intuition,Интуиция рыболова,Intuicja wędkarza,Horgász intuíció,Intuizione dell'anglista,Intuición de pescador,Intuition de l'angleur,釣客直覺,アングラーズ・インテュイション,Intuição de pescador,钓客直觉,
STR_PLAYZ_FISHING_MOD_CATCH_DESC,Increases the probability of a fish biting based on your deep understanding of aquatic behavior.,Increases the probability of a fish biting based on your deep understanding of aquatic behavior.,"Zvyšuje pravděpodobnost, že ryba zabere, na základě vašeho hlubokého porozumění vodnímu chování.","Erhöht die Wahrscheinlichkeit, dass ein Fisch anbeißt, basierend auf Ihrem tiefen Verständnis des aquatischen Verhaltens.",Увеличивает вероятность поклевки рыбы на основе вашего глубокого понимания поведения водных обитателей.,Zwiększa prawdopodobieństwo brania ryby w oparciu o Twoje głębokie zrozumienie zachowań wodnych.,A vízi viselkedés mélyreható ismerete alapján növeli a halak kapásának valószínűségét.,Aumenta la probabilità che un pesce abbocchi in base alla tua profonda comprensione del comportamento acquatico.,Aumenta la probabilidad de que un pez muerda basándose en tu profundo conocimiento del comportamiento acuático.,Augmente la probabilité qu'un poisson morde en fonction de votre compréhension approfondie du comportement aquatique.,根據您對水生行為 trading 的深刻理解，增加魚類咬鉤的機率。,水生行動に対する深い理解に基づき、魚が食いつく確率を高めます。,Aumenta a probabilidade de um peixe morder com base na sua profunda compreensão do comportamento aquático.,根据您对水生行为的深刻理解，增加鱼类咬钩的概率。,
STR_PLAYZ_FISHING_MOD_RELIABGEAR_NAME,Tackle Resilience,Tackle Resilience,Odolnost náčiní,Tackle-Resilienz,Устойчивость снастей,Odporność sprzętu,Felszerelés ellenállása,Resilienza dell'attrezzatura,Resiliencia del equipo,Résilience de l'attrezzatura,具備韌性的漁具,タックル・レジリエンス,Resiliência de equipamento,具备韧性的渔具,
